gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,countryCode,locality,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1436967101,8138eb72-f762-11e1-a439-00145eb45e9a,urn:catalog:RBINS:mam:454130,Animalia,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus coucang,,SPECIES,"Nycticebus coucang (Boddaert, 1785)",MM,,e88c96a3-5884-4e51-a580-e417ca4c9eed,19.25,96.666667,,,,,,,1888-10-05T00:00:00Z,5,10,1888,2436629,2436629,PRESERVED_SPECIMEN,RBINS,mam,684,,Frechkop Serge (M.),1932-01-01T00:00:00Z,CC_BY_NC_4_0,Royal belgian Institute of natural Sciences,,,,2018-12-06T19:08:13.308Z,,COORDINATE_ROUNDED
1436121953,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,MCZ:Mamm:BOM-422,Animalia,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus coucang,,SPECIES,"Nycticebus coucang (Boddaert, 1785)",IN,[no specific locality data],b4640710-8e03-11d8-b956-b8a03c50a862,12.373746,75.815918,60957,,,,,,,,,,2436629,2436629,PRESERVED_SPECIMEN,MCZ,Mamm,BOM-422,,[no agent data],,CC_BY_NC_4_0,President and Fellows of Harvard College,[no agent data],,,2018-12-08T00:10:20.825Z,,
1339144639,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus coucang,,SPECIES,"Nycticebus coucang (Boddaert, 1785)",MY,Danum Valley Conservation Area,bb646dff-a905-4403-a49b-6d378c2cf0d9,4.965772,117.689499,250,,,,,,2015-04-19T00:00:00Z,19,4,2015,2436629,2436629,HUMAN_OBSERVATION,naturgucker,naturgucker,-1903321611,,,,CC_BY_4_0,,1963945989,,,2018-07-07T13:24:46.987Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1322542520,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3ec3845c7-e599-41e8-81f7-03817f6cc67a,Animalia,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus coucang,coucang,SUBSPECIES,Nycticebus coucang coucang,MY,"Sungai Buloh, Sungei Buloh Forest Reserve, Bukit Lanjan",bc092ff0-02e4-11dc-991f-b8a03c50a862,3.17,101.58,,,228.5,76.5,,,1969-06-09T00:00:00Z,9,6,1969,7262072,2436629,PRESERVED_SPECIMEN,USNM,Mammals,488079,R 79137,,,CC0_1_0,,I. Muul & Lim Boo Liat,,,2018-12-09T02:00:09.748Z,,GEODETIC_DATUM_ASSUMED_WGS84
1322418945,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3e6c59ef7-a120-409e-9357-e47b618c097f,Animalia,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus coucang,coucang,SUBSPECIES,Nycticebus coucang coucang,MY,"Kuala Brang, Ulu Telemong, Kampong Imam Lapar",bc092ff0-02e4-11dc-991f-b8a03c50a862,5.05,103.03,,,38,38,,,1968-06-23T00:00:00Z,23,6,1968,7262072,2436629,PRESERVED_SPECIMEN,USNM,Mammals,488080,BL 4863,,,CC0_1_0,,I. Muul & Lim Boo Liat,,,2018-07-06T22:26:23.219Z,,GEODETIC_DATUM_ASSUMED_WGS84
1321739837,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3c8ad0e1b-2998-48e8-8368-770af16812de,Animalia,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus coucang,coucang,SUBSPECIES,Nycticebus coucang coucang,MY,"Batu, Bukit Legong Forest Reserve",bc092ff0-02e4-11dc-991f-b8a03c50a862,3.23,101.63,,,609.5,304.5,,,1969-10-23T00:00:00Z,23,10,1969,7262072,2436629,PRESERVED_SPECIMEN,USNM,Mammals,488078,R 74149,,,CC0_1_0,,I. Muul & Lim Boo Liat,,,2018-12-07T22:04:55.451Z,,GEODETIC_DATUM_ASSUMED_WGS84
1321356308,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/3b7b89f2f-e3db-459c-9a44-e5fa1f364264,Animalia,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus coucang,coucang,SUBSPECIES,Nycticebus coucang coucang,MY,"Rompin, Menchali Forest Reserve, Kampong Sebayan",bc092ff0-02e4-11dc-991f-b8a03c50a862,2.83,103.45,,,38,38,,,1970-01-20T00:00:00Z,20,1,1970,7262072,2436629,PRESERVED_SPECIMEN,USNM,Mammals,488075,R 82083,,,CC0_1_0,,I. Muul & Lim Boo Liat,,,2018-12-07T14:29:54.058Z,,GEODETIC_DATUM_ASSUMED_WGS84
1320458133,821cc27a-e3bb-4bc5-ac34-89ada245069d,http://n2t.net/ark:/65665/390051883-955d-4ddc-98f4-6d985e7b70ee,Animalia,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus coucang,coucang,SUBSPECIES,Nycticebus coucang coucang,MY,"Tapah, Tapah And Ringlet Road At Mile 24",bc092ff0-02e4-11dc-991f-b8a03c50a862,4.38,100.37,,,609.5,304.5,,,1970-08-24T00:00:00Z,24,8,1970,7262072,2436629,PRESERVED_SPECIMEN,USNM,Mammals,488076,R 85990,,,CC0_1_0,,I. Muul & Lim Boo Liat,,,2018-12-06T01:19:56.535Z,,GEODETIC_DATUM_ASSUMED_WGS84
1145761392,0daed095-478a-4af6-abf5-18acb790fbb2,http://arctos.database.museum/guid/MVZ:Mamm:186410?seid=1342259,Animalia,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus coucang,,SPECIES,"Nycticebus coucang (Boddaert, 1785)",VN,"Vinh Yen District, Tam Dao",8edbbde0-055e-11d8-b850-b8a03c50a862,21.453889,105.641944,,,850,150,,,1997-06-12T00:00:00Z,12,6,1997,2436629,2436629,PRESERVED_SPECIMEN,MVZ,Mammal specimens,MVZ:Mamm:186410,16908,"Museum of Vertebrate Zoology, University of California, Berkeley",1999-01-27T00:00:00Z,CC0_1_0,,Collector(s): James L. Patton,,,2018-12-06T17:55:01.609Z,,GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;COORDINATE_ROUNDED
1145684232,0daed095-478a-4af6-abf5-18acb790fbb2,http://arctos.database.museum/guid/MVZ:Mamm:116956?seid=1105820,Animalia,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus coucang,coucang,SUBSPECIES,Nycticebus coucang coucang,MY,South Johore,8edbbde0-055e-11d8-b850-b8a03c50a862,2,103.5,3143,,,,,,1952-11-19T00:00:00Z,19,11,1952,7262072,2436629,PRESERVED_SPECIMEN,MVZ,Mammal specimens,MVZ:Mamm:116956,2103,"Museum of Vertebrate Zoology, University of California, Berkeley",1999-01-27T00:00:00Z,CC0_1_0,,Collector(s): John R. Hendrickson,,,2018-12-06T17:54:05.050Z,,
